rye_readscitext,rye_learnscivocab,rye_scitext,hk_ellparticipateinsci,hk_swdparticipateinsci,hk_teaching_science,hk_teaching_sci_field_trial_units,years_teaching,years_teaching_current_grade
Experienced,Experienced,Experienced,Knowledgeable,Knowledgeable,Knowledgeable,Not knowledgeable,2,2
Experienced,Experienced,Experienced,Knowledgeable,Knowledgeable,Knowledgeable,Knowledgeable,6 to 10,5
Emerging,Emerging,Emerging,Knowledgeable,Knowledgeable,Not very knowledgeable,Not knowledgeable,3,3
Very new,Very new,Very new,Not knowledgeable,Knowledgeable,Not very knowledgeable,Not knowledgeable,5,2
NA,NA,NA,NA,NA,NA,NA,more than 20,3
NA,NA,NA,NA,NA,NA,NA,more than 20,11 to 15
Experienced,Experienced,Experienced,Very knowledgeable,Knowledgeable,Very knowledgeable,Knowledgeable,11 to 15,2
NA,NA,NA,NA,NA,NA,NA,NA,NA
Experienced,Experienced,Experienced,Knowledgeable,Knowledgeable,Knowledgeable,Knowledgeable,more than 20,11 to 15
Experienced,Experienced,Experienced,Very knowledgeable,Very knowledgeable,Very knowledgeable,Knowledgeable,more than 20,6 to 10
Emerging,Emerging,Emerging,Knowledgeable,Knowledgeable,Knowledgeable,Not knowledgeable,2,1
Experienced,Expert,Experienced,Not knowledgeable,Very knowledgeable,Very knowledgeable,Knowledgeable,more than 20,11 to 15
Expert,Expert,Expert,Knowledgeable,Knowledgeable,Knowledgeable,Knowledgeable,more than 20,3
Expert,Experienced,Experienced,Not at all knowledgeable,Very knowledgeable,Not very knowledgeable,Not knowledgeable,6 to 10,2
Experienced,Experienced,Experienced,Knowledgeable,Very knowledgeable,Very knowledgeable,Not knowledgeable,more than 20,11 to 15
Expert,Expert,Experienced,Knowledgeable,Not knowledgeable,Very knowledgeable,Knowledgeable,more than 20,20 or more
Expert,Expert,Expert,Knowledgeable,Knowledgeable,Very knowledgeable,Knowledgeable,more than 20,16 to 19
NA,NA,NA,NA,NA,NA,NA,5,5
Experienced,Experienced,Experienced,Very knowledgeable,Very knowledgeable,Knowledgeable,Knowledgeable,6 to 10,1
Experienced,Experienced,Experienced,Knowledgeable,Knowledgeable,Knowledgeable,Knowledgeable,16 to 20,6 to 10
Experienced,Experienced,Experienced,Knowledgeable,Knowledgeable,Knowledgeable,Very knowledgeable,16 to 20,2
Experienced,Experienced,Experienced,Knowledgeable,Knowledgeable,Very knowledgeable,Very knowledgeable,more than 20,6 to 10
Experienced,Experienced,Emerging,Knowledgeable,Knowledgeable,Knowledgeable,Knowledgeable,6 to 10,6 to 10
Experienced,Emerging,Emerging,Knowledgeable,Knowledgeable,Knowledgeable,Knowledgeable,6 to 10,6 to 10
NA,NA,NA,NA,NA,NA,NA,11 to 15,4
Experienced,Experienced,Experienced,Knowledgeable,Knowledgeable,Knowledgeable,Not knowledgeable,11 to 15,4
Experienced,Experienced,Experienced,Knowledgeable,Knowledgeable,Knowledgeable,Knowledgeable,4,4
Experienced,Experienced,Experienced,Knowledgeable,Not at all knowledgeable,Knowledgeable,Knowledgeable,4,2
Experienced,Experienced,Emerging,Knowledgeable,Knowledgeable,Not very knowledgeable,Knowledgeable,6 to 10,3
Experienced,Experienced,Experienced,Knowledgeable,Knowledgeable,Knowledgeable,Knowledgeable,more than 20,3
Experienced,Experienced,Emerging,Knowledgeable,Knowledgeable,Knowledgeable,Knowledgeable,16 to 20,11 to 15
Experienced,Experienced,Emerging,Knowledgeable,Knowledgeable,Knowledgeable,Knowledgeable,11 to 15,11 to 15
Experienced,Experienced,Experienced,Knowledgeable,Very knowledgeable,Knowledgeable,Very knowledgeable,5,1
Experienced,Experienced,Experienced,Not knowledgeable,Not knowledgeable,Knowledgeable,Knowledgeable,3,1
Experienced,Experienced,Experienced,Very knowledgeable,Knowledgeable,Knowledgeable,Very knowledgeable,6 to 10,4
Experienced,Experienced,Experienced,Knowledgeable,Knowledgeable,Knowledgeable,Knowledgeable,6 to 10,4
Experienced,Experienced,Emerging,Very knowledgeable,Very knowledgeable,Knowledgeable,Very knowledgeable,11 to 15,6 to 10
Experienced,Emerging,Emerging,Not knowledgeable,Knowledgeable,Knowledgeable,Knowledgeable,11 to 15,1
Experienced,Experienced,Experienced,Knowledgeable,Knowledgeable,Knowledgeable,Knowledgeable,6 to 10,6 to 10
Experienced,Experienced,Emerging,Knowledgeable,Knowledgeable,Not very knowledgeable,Knowledgeable,2,2
Experienced,Experienced,Experienced,Knowledgeable,Not knowledgeable,Knowledgeable,Knowledgeable,11 to 15,5
Experienced,Experienced,Experienced,Knowledgeable,Knowledgeable,Knowledgeable,Knowledgeable,16 to 20,6 to 10
Very new,Very new,Very new,Knowledgeable,Not at all knowledgeable,Not very knowledgeable,Knowledgeable,6 to 10,1
NA,NA,NA,NA,NA,NA,NA,6 to 10,6 to 10
Experienced,Experienced,Experienced,Very knowledgeable,Knowledgeable,Knowledgeable,Very knowledgeable,6 to 10,4
Experienced,Experienced,Experienced,Knowledgeable,Not knowledgeable,Knowledgeable,Very knowledgeable,16 to 20,6 to 10
Emerging,Experienced,Emerging,Knowledgeable,Knowledgeable,Not very knowledgeable,Knowledgeable,3,2
Experienced,Emerging,Emerging,Knowledgeable,Knowledgeable,Not very knowledgeable,Not knowledgeable,6 to 10,6 to 10
Emerging,Experienced,Emerging,Knowledgeable,Not knowledgeable,Not very knowledgeable,Not knowledgeable,3,3
NA,NA,NA,NA,NA,NA,NA,NA,NA
Experienced,Experienced,Very new,Not at all knowledgeable,Not at all knowledgeable,Knowledgeable,Not knowledgeable,more than 20,2
Experienced,Experienced,Experienced,Very knowledgeable,Knowledgeable,Very knowledgeable,Knowledgeable,6 to 10,6 to 10
Experienced,Experienced,Emerging,Very knowledgeable,Knowledgeable,Very knowledgeable,Knowledgeable,6 to 10,6 to 10
Experienced,Experienced,Experienced,Knowledgeable,Not knowledgeable,Knowledgeable,Knowledgeable,11 to 15,4
Experienced,Experienced,Experienced,Knowledgeable,Knowledgeable,Knowledgeable,Knowledgeable,more than 20,11 to 15
Experienced,Experienced,Emerging,Knowledgeable,Knowledgeable,Knowledgeable,Knowledgeable,2,1
Experienced,Experienced,Experienced,Very knowledgeable,Very knowledgeable,Knowledgeable,Knowledgeable,6 to 10,6 to 10
Expert,Expert,Experienced,Very knowledgeable,Very knowledgeable,Very knowledgeable,Very knowledgeable,more than 20,20 or more
Experienced,Experienced,Emerging,Not knowledgeable,Knowledgeable,Knowledgeable,Knowledgeable,11 to 15,2
Emerging,Emerging,Emerging,Knowledgeable,Knowledgeable,Not very knowledgeable,Knowledgeable,3,3
Emerging,Emerging,Emerging,Knowledgeable,Knowledgeable,Knowledgeable,Knowledgeable,2,1
Experienced,Experienced,Experienced,Knowledgeable,Knowledgeable,Knowledgeable,Not knowledgeable,more than 20,20 or more
Experienced,Experienced,Experienced,Knowledgeable,Knowledgeable,Knowledgeable,Knowledgeable,16 to 20,11 to 15
